Date,GSPC,MSFT,AAPL,V,JNJ,JPM,XOM,WMT,PG,DIS,PFE,UNH,VZ,CSCO,CVX,KO,HD,MRK,INTC,BA,MCD,NKE,IBM,UTX,AXP,MMM,CAT,GS,WBA,TRV
01-Oct-16,-0.019616837,0.03948778,0.004324888,-0.002300097,-0.018281646,0.039313219,-0.046432433,-0.029550819,-0.033421402,-0.001832517,-0.065897535,0.014062331,-0.077576564,-0.03333648,0.01762463,0.010025143,-0.053225628,-0.05363883,-0.07935895,0.078020269,-0.024482625,-0.042533188,-0.033022963,0.005887986,0.036490307,-0.064027911,-0.061681211,0.100050822,0.025835435,-0.051582398
01-Sep-16,-0.001235213,0.008646836,0.068850916,0.023739766,-0.003542005,-0.013573213,0.01009653,0.016295725,0.027563133,-0.017083376,-0.018809673,0.028619787,-0.006710867,0.008866465,0.033480026,-0.025890619,-0.036291258,-0.006070355,0.058078384,0.025788573,0.005144408,-0.090550429,0.008411057,-0.04037948,-0.023763032,-0.010724172,0.079939231,-0.045634,0.003423934,-0.035672104
01-Aug-16,-0.001219987,0.013667693,0.017973973,0.035864159,-0.048175542,0.061467952,-0.020558276,-0.021190491,0.027696357,-0.008412837,-0.058322934,-0.051219528,-0.047145152,0.038439862,-0.018714248,-0.004594438,-0.030256512,0.06803784,0.029118888,-0.032004527,-0.017059241,0.037833749,-0.010892221,-0.011397646,0.017226008,0.004921811,-0.000248138,0.064908404,0.018254725,0.021198542
01-Jul-16,0.034990433,0.102267999,0.086235098,0.05098992,0.031885167,0.029024323,-0.052450757,-0.000684798,0.010807047,-0.019301888,0.046610207,0.018608449,-0.007730426,0.062161335,-0.022672352,-0.03058487,0.079386025,0.026192047,0.060911451,0.028765162,-0.015283117,0.00833713,0.056609196,0.048534591,0.06413438,0.018332507,0.087714653,0.066584918,-0.04948083,-0.018109957
01-Jun-16,0.000910506,-0.028168356,-0.037526503,-0.060559069,0.080740564,-0.049142678,0.060033254,0.038451862,0.043818526,-0.014210441,0.02350575,0.054803012,0.092627491,-0.01246973,0.047735028,0.016235402,-0.028940132,0.023712341,0.046188688,0.0371861,-0.014191717,-0.000362182,0.006323913,0.026015016,-0.079080172,0.046241025,0.044505753,-0.066704324,0.077691552,0.042033699
01-May-16,0.015208367,0.060872253,0.063244342,0.021770594,0.005427775,0.039604577,0.006988865,0.05682589,0.019569437,-0.039910488,0.059058897,0.014999654,0.009714966,0.064299859,-0.011615348,-0.004474349,-0.013308094,0.025563916,0.042353173,-0.066320441,-0.035650534,-0.065194708,0.052067346,-0.036988822,0.009860856,0.005600451,-0.05968493,-0.028618248,-0.023999004,0.037854848
01-Apr-16,0.002695762,-0.102086811,-0.150731208,0.009888032,0.035231498,0.065045024,0.055948207,-0.016561531,-0.026966989,0.039003693,0.098555993,0.02545596,-0.059816068,-0.035028688,0.0686573,-0.027107364,0.008925388,0.044537903,-0.066126558,0.060077695,0.006424189,-0.039454472,-0.037060158,0.041772627,0.063570833,0.004490701,0.015299217,0.044418659,-0.060684053,-0.0545811
01-Mar-16,0.06390499,0.089190788,0.125157945,0.058983322,0.03524398,0.050564845,0.051059327,0.031894808,0.024847407,0.038910768,0.008991693,0.079073471,0.063947005,0.08385515,0.146554924,0.072864951,0.072328112,0.052378379,0.097940687,0.080716676,0.077489525,-0.00195048,0.154992042,0.042812041,0.099586446,0.067557534,0.12272742,0.052956792,0.069663081,0.082015374
01-Feb-16,-0.004136906,-0.079498409,-0.006699896,-0.028596801,0.007345455,-0.048596021,0.029116132,-0.000301378,-0.008609665,-0.003135859,-0.027262273,0.033640895,0.02731959,0.103492278,-0.035669997,0.004880801,-0.013126516,-0.00911989,-0.047195879,-0.016365406,-0.054709114,-0.006795924,0.048794053,0.096977832,0.042508973,0.038137467,0.109475455,-0.077379785,-0.009832139,0.004474486
01-Jan-16,-0.052067617,-0.00705446,-0.078223725,-0.040258198,0.016605942,-0.104132827,-0.001283838,0.087655776,0.028307547,-0.085860808,-0.057048847,-0.016996633,0.078010305,-0.13247981,-0.039567417,-0.000931253,-0.045902069,-0.032951286,-0.104876747,-0.185327735,0.046635436,-0.003022863,-0.097863988,-0.091269113,-0.262364213,0.002387,-0.087921501,-0.109356975,-0.066011317,-0.047561049
